Name,2020 Population,code,region_code,province_code,municipality_code,barangay_code
"Bgy. No. 24, Nstra. Sra. De Consolacion ",1074,1.0,10,102,10,1.0
"Bgy. No. 7-A, Nstra. Sra. De Natividad ",913,2.0,10,102,10,2.0
"Bgy. No. 7-B, Nstra. Sra. De Natividad ",827,3.0,10,102,10,3.0
"Bgy. No. 27, Nstra. Sra. De Soledad ",1660,4.0,10,102,10,4.0
"Bgy. No. 13, Nstra. Sra. De Visitacion ",1460,5.0,10,102,10,5.0
"Bgy. No. 3, Nstra. Sra. Del Rosario ",1011,6.0,10,102,10,6.0
"Bgy. No. 57, Pila",1960,7.0,10,102,10,7.0
"Bgy. No. 49-B, Raraburan",1631,8.0,10,102,10,8.0
"Bgy. No. 53, Rioeng",1678,9.0,10,102,10,9.0
"Bgy. No. 55-B, Salet-Bulangon",2626,0.0,10,102,10,0.0
"Bgy. No. 6, San Agustin ",1267,3.0,10,102,10,3.0
"Bgy. No. 22, San Andres ",1063,4.0,10,102,10,4.0
"Bgy. No. 28, San Bernardo ",1549,5.0,10,102,10,5.0
"Bgy. No. 17, San Francisco ",719,6.0,10,102,10,6.0
"Bgy. No. 4, San Guillermo ",1190,7.0,10,102,10,7.0
"Bgy. No. 15, San Guillermo ",1039,8.0,10,102,10,8.0
"Bgy. No. 12, San Isidro ",1890,9.0,10,102,10,9.0
"Bgy. No. 16, San Jacinto ",1026,0.0,10,102,10,0.0
"Bgy. No. 10, San Jose ",970,1.0,10,102,10,1.0
"Bgy. No. 1, San Lorenzo ",5458,2.0,10,102,10,2.0
"Bgy. No. 26, San Marcelino ",856,3.0,10,102,10,3.0
"Bgy. No. 52-A, San Mateo",582,4.0,10,102,10,4.0
"Bgy. No. 23, San Matias ",3014,5.0,10,102,10,5.0
"Bgy. No. 20, San Miguel ",955,6.0,10,102,10,6.0
"Bgy. No. 21, San Pedro ",1262,7.0,10,102,10,7.0
"Bgy. No. 5, San Pedro ",1383,8.0,10,102,10,8.0
"Bry. No. 18, San Quirino ",732,9.0,10,102,10,9.0
"Bgy. No. 8, San Vicente ",878,0.0,10,102,10,0.0
"Bgy. No. 9, Santa Angela ",598,1.0,10,102,10,1.0
"Bgy. No. 11, Santa Balbina ",881,2.0,10,102,10,2.0
"Bgy. No. 25, Santa Cayetana ",1144,3.0,10,102,10,3.0
"Bgy. No. 2, Santa Joaquina ",2501,4.0,10,102,10,4.0
"Bgy. No. 19, Santa Marcela ",885,5.0,10,102,10,5.0
"Bgy. No. 30-B, Santa Maria",1571,6.0,10,102,10,6.0
"Bgy. No. 39, Santa Rosa",792,7.0,10,102,10,7.0
"Bgy. No. 14, Santo Tomas ",1041,8.0,10,102,10,8.0
"Bgy. No. 29, Santo Tomas ",1458,9.0,10,102,10,9.0
"Bgy. No. 30-A, Suyo",708,0.0,10,102,10,0.0
"Bgy. No. 31, Talingaan",1626,1.0,10,102,10,1.0
"Bgy. No. 45, Tangid",1061,2.0,10,102,10,2.0
"Bgy. No. 55-C, Vira",1460,3.0,10,102,10,3.0
"Bgy. No. 44, Zamboanga",2021,4.0,10,102,10,4.0
Pacifico,1843,1.0,10,102,10,1.0
Imelda,874,3.0,10,102,10,3.0
Elizabeth,1307,4.0,10,102,10,4.0
Daquioag,1768,5.0,10,102,10,5.0
Escoda,2064,6.0,10,102,10,6.0
Ferdinand,965,7.0,10,102,10,7.0
Fortuna,1111,8.0,10,102,10,8.0
