population,name,code,region_code,province_code,municipality_code
1890,"Bgy. No. 12, San Isidro ",59,10,102,10
1026,"Bgy. No. 16, San Jacinto ",60,10,102,10
970,"Bgy. No. 10, San Jose ",61,10,102,10
5458,"Bgy. No. 1, San Lorenzo ",62,10,102,10
856,"Bgy. No. 26, San Marcelino ",63,10,102,10
582,"Bgy. No. 52-A, San Mateo",64,10,102,10
3014,"Bgy. No. 23, San Matias ",65,10,102,10
955,"Bgy. No. 20, San Miguel ",66,10,102,10
1262,"Bgy. No. 21, San Pedro ",67,10,102,10
1383,"Bgy. No. 5, San Pedro ",68,10,102,10
732,"Bry. No. 18, San Quirino ",69,10,102,10
878,"Bgy. No. 8, San Vicente ",70,10,102,10
598,"Bgy. No. 9, Santa Angela ",71,10,102,10
881,"Bgy. No. 11, Santa Balbina ",72,10,102,10
1144,"Bgy. No. 25, Santa Cayetana ",73,10,102,10
2501,"Bgy. No. 2, Santa Joaquina ",74,10,102,10
885,"Bgy. No. 19, Santa Marcela ",75,10,102,10
1571,"Bgy. No. 30-B, Santa Maria",76,10,102,10
792,"Bgy. No. 39, Santa Rosa",77,10,102,10
1041,"Bgy. No. 14, Santo Tomas ",78,10,102,10
1458,"Bgy. No. 29, Santo Tomas ",79,10,102,10
708,"Bgy. No. 30-A, Suyo",80,10,102,10
1626,"Bgy. No. 31, Talingaan",81,10,102,10
1061,"Bgy. No. 45, Tangid",82,10,102,10
1460,"Bgy. No. 55-C, Vira",83,10,102,10
2021,"Bgy. No. 44, Zamboanga",84,10,102,10
1843,Pacifico,1,10,102,10
874,Imelda,3,10,102,10
1307,Elizabeth,4,10,102,10
1768,Daquioag,5,10,102,10
2064,Escoda,6,10,102,10
965,Ferdinand,7,10,102,10
1111,Fortuna,8,10,102,10
2264,Lydia ,9,10,102,10
1121,Mabuti,10,10,102,10
1083,Valdez,11,10,102,10
1692,Tabucbuc,12,10,102,10
1510,Santiago,13,10,102,10
408,Cacafean,14,10,102,10
767,Acnam,1,10,102,10
443,Barangobong,2,10,102,10
681,Barikir,3,10,102,10
940,Bugayong,4,10,102,10
1075,Cabittauran,5,10,102,10
824,Caray,6,10,102,10
711,Garnaden,7,10,102,10
1043,Naguillan,8,10,102,10
3206,Poblacion,9,10,102,10
1184,Santo Niño,10,10,102,10
1094,Uguis,11,10,102,10
725,Aggasi,1,10,102,10
1131,Baduang,3,10,102,10
1980,Balaoi,4,10,102,10
1461,Burayoc,5,10,102,10
1529,Caunayan,6,10,102,10
1025,Dampig,7,10,102,10
1057,Ligaya,8,10,102,10
2398,Pancian,10,10,102,10
1793,Pasaleng,11,10,102,10
2669,Poblacion 1,12,10,102,10
3258,Poblacion 2,13,10,102,10
903,Saguigui,14,10,102,10
1467,Saud,15,10,102,10
1832,Subec,16,10,102,10
940,Tarrag,17,10,102,10
930,Caparispisan,18,10,102,10
703,Bacsil,1,10,102,10
