name,population,code,region_code,province_code,city_code
Lingsat,1042,012,01,029,03
Malingeb,1332,013,01,029,03
Mira,896,014,01,029,03
Naguiddayan,767,015,01,029,03
Ora,2285,016,01,029,03
Paing,1625,017,01,029,03
Puspus,453,018,01,029,03
Quimmarayan,583,019,01,029,03
Sagneb,400,020,01,029,03
Sagpat,826,021,01,029,03
San Mariano,358,022,01,029,03
San Isidro,983,023,01,029,03
San Julian,972,024,01,029,03
Sinabaan,734,026,01,029,03
Taguiporo,1376,027,01,029,03
Taleb,1953,028,01,029,03
Tay-ac,2595,029,01,029,03
Barangay 1 ,672,030,01,029,03
Barangay 2 ,508,031,01,029,03
Barangay 3 ,1051,032,01,029,03
Barangay 4 ,795,033,01,029,03
Barangay 5 ,664,034,01,029,03
Barangay 6 ,491,035,01,029,03
Ambugat,468,001,01,029,04
Balugang,456,002,01,029,04
Bangbangar,297,003,01,029,04
Bessang,453,005,01,029,04
Cabcaburao,552,006,01,029,04
Cadacad,360,007,01,029,04
Callitong,582,008,01,029,04
Dayanki,762,009,01,029,04
Lesseb,142,010,01,029,04
Lubing,473,011,01,029,04
Lucaban,483,012,01,029,04
Luna,1196,013,01,029,04
Macaoayan,469,014,01,029,04
Mambug,618,015,01,029,04
Manaboc,653,016,01,029,04
Mapanit,266,017,01,029,04
Poblacion Sur,196,018,01,029,04
Nagpanaoan,413,019,01,029,04
Dirdirig,946,020,01,029,04
Paduros,717,022,01,029,04
Patac,294,023,01,029,04
Poblacion Norte,360,024,01,029,04
Sabangan Pinggan,346,026,01,029,04
Subadi Norte,442,027,01,029,04
Subadi Sur,161,028,01,029,04
Taliao,688,029,01,029,04
Alinaay,852,001,01,029,05
Aragan,934,002,01,029,05
Arnap,1310,003,01,029,05
Baclig ,2446,004,01,029,05
Bato,532,005,01,029,05
Bonifacio ,1438,006,01,029,05
Bungro,434,007,01,029,05
Cacadiran,1076,008,01,029,05
Caellayan,1054,009,01,029,05
Carusipan,641,010,01,029,05
Catucdaan,1002,011,01,029,05
Cuancabal,1137,012,01,029,05
Cuantacla,855,013,01,029,05
Daclapan,2396,014,01,029,05
Dardarat,1549,015,01,029,05
Lipit,889,016,01,029,05
Maradodon,730,017,01,029,05
Margaay,996,018,01,029,05
Nagsantaan,381,019,01,029,05
Nagsincaoan,418,020,01,029,05
Namruangan,2015,021,01,029,05
Pila,834,022,01,029,05
Pug-os,2077,023,01,029,05
Quezon ,2031,024,01,029,05
Reppaac,295,025,01,029,05
Rizal ,1226,026,01,029,05
Sabang,1419,027,01,029,05
Sagayaden,1256,028,01,029,05
Salapasap,1848,029,01,029,05
Salomague,1675,030,01,029,05
Sisim,709,031,01,029,05
Turod,1479,032,01,029,05
Turod-Patac,950,033,01,029,05
Allangigan Primero,1202,001,01,029,06
Allangigan Segundo,1170,002,01,029,06
Amguid,686,003,01,029,06
Ayudante,1123,004,01,029,06
