10-digit PSGC,Name,Correspondence Code,Geographic Level,2020 Population,Status
102815005.0,Burayoc,12815005.0,Bgy,1461,
102815006.0,Caunayan,12815006.0,Bgy,1529,
102815007.0,Dampig,12815007.0,Bgy,1025,
102815008.0,Ligaya,12815008.0,Bgy,1057,
102815010.0,Pancian,12815010.0,Bgy,2398,
102815011.0,Pasaleng,12815011.0,Bgy,1793,
102815012.0,Poblacion 1,12815012.0,Bgy,2669,
102815013.0,Poblacion 2,12815013.0,Bgy,3258,
102815014.0,Saguigui,12815014.0,Bgy,903,
102815015.0,Saud,12815015.0,Bgy,1467,
102815016.0,Subec,12815016.0,Bgy,1832,
102815017.0,Tarrag,12815017.0,Bgy,940,
102815018.0,Caparispisan,12815018.0,Bgy,930,
102816000.0,Paoay,12816000.0,Mun,25001,
102816001.0,Bacsil,12816001.0,Bgy,703,
102816002.0,Cabagoan,12816002.0,Bgy,453,
102816003.0,Cabangaran,12816003.0,Bgy,375,
102816004.0,Callaguip,12816004.0,Bgy,2019,
102816005.0,Cayubog,12816005.0,Bgy,590,
102816006.0,Dolores,12816006.0,Bgy,419,
102816007.0,Laoa,12816007.0,Bgy,355,
102816008.0,Masintoc,12816008.0,Bgy,654,
102816009.0,Monte,12816009.0,Bgy,737,
102816010.0,Mumulaan,12816010.0,Bgy,873,
102816011.0,Nagbacalan,12816011.0,Bgy,3194,
102816012.0,Nalasin,12816012.0,Bgy,1378,
102816013.0,Nanguyudan,12816013.0,Bgy,602,
102816014.0,Oaig-Upay-Abulao,12816014.0,Bgy,744,
102816015.0,Pambaran,12816015.0,Bgy,189,
102816016.0,Pannaratan ,12816016.0,Bgy,241,Pob.
102816017.0,Paratong,12816017.0,Bgy,1115,
102816018.0,Pasil,12816018.0,Bgy,1039,
102816019.0,Salbang ,12816019.0,Bgy,714,Pob.
102816020.0,San Agustin,12816020.0,Bgy,1029,
102816021.0,San Blas ,12816021.0,Bgy,234,Pob.
102816022.0,San Juan,12816022.0,Bgy,222,
102816025.0,San Pedro,12816025.0,Bgy,592,
102816028.0,San Roque ,12816028.0,Bgy,1101,Pob.
102816029.0,Sangladan Pob.,12816029.0,Bgy,383,
102816030.0,Santa Rita ,12816030.0,Bgy,838,Pob.
102816031.0,Sideg,12816031.0,Bgy,459,
102816032.0,Suba,12816032.0,Bgy,1512,
102816033.0,Sungadan,12816033.0,Bgy,1181,
102816034.0,Surgui,12816034.0,Bgy,805,
102816035.0,Veronica,12816035.0,Bgy,251,
102817000.0,Pasuquin,12817000.0,Mun,29678,
102817001.0,Batuli,12817001.0,Bgy,452,
102817002.0,Binsang,12817002.0,Bgy,972,
102817003.0,Nalvo,12817003.0,Bgy,591,
102817004.0,Caruan,12817004.0,Bgy,1429,
102817005.0,Carusikis,12817005.0,Bgy,819,
102817006.0,Carusipan,12817006.0,Bgy,459,
102817007.0,Dadaeman,12817007.0,Bgy,322,
102817008.0,Darupidip,12817008.0,Bgy,287,
102817009.0,Davila,12817009.0,Bgy,3989,
102817010.0,Dilanis,12817010.0,Bgy,452,
102817011.0,Dilavo,12817011.0,Bgy,641,
102817012.0,Estancia,12817012.0,Bgy,1117,
102817014.0,Naglicuan,12817014.0,Bgy,1750,
102817015.0,Nagsanga,12817015.0,Bgy,1335,
102817016.0,Ngabangab,12817016.0,Bgy,693,
102817017.0,Pangil,12817017.0,Bgy,392,
102817018.0,Poblacion 1,12817018.0,Bgy,1051,
102817019.0,Poblacion 2,12817019.0,Bgy,1821,
102817020.0,Poblacion 3,12817020.0,Bgy,934,
102817021.0,Poblacion 4,12817021.0,Bgy,1471,
102817022.0,Pragata,12817022.0,Bgy,606,
102817023.0,Puyupuyan,12817023.0,Bgy,871,
102817024.0,Sulongan,12817024.0,Bgy,492,
102817025.0,Salpad,12817025.0,Bgy,665,
102817026.0,San Juan,12817026.0,Bgy,1605,
102817027.0,Santa Catalina,12817027.0,Bgy,847,
102817028.0,Santa Matilde,12817028.0,Bgy,421,
102817029.0,Sapat,12817029.0,Bgy,69,
102817030.0,Sulbec,12817030.0,Bgy,916,
102817031.0,Surong,12817031.0,Bgy,340,
102817032.0,Susugaen,12817032.0,Bgy,1319,
102817033.0,Tabungao,12817033.0,Bgy,161,
102817034.0,Tadao,12817034.0,Bgy,389,
102818000.0,Piddig,12818000.0,Mun,22475,
102818001.0,Ab-abut,12818001.0,Bgy,462,
102818002.0,Abucay,12818002.0,Bgy,1635,
102818003.0,Anao ,12818003.0,Bgy,1234,Pob.
102818004.0,Arua-ay,12818004.0,Bgy,382,
102818005.0,Bimmanga,12818005.0,Bgy,307,
102818006.0,Boyboy,12818006.0,Bgy,1665,
102818007.0,Cabaroan ,12818007.0,Bgy,960,Pob.
102818008.0,Calambeg,12818008.0,Bgy,1331,
102818009.0,Callusa,12818009.0,Bgy,682,
102818010.0,Dupitac,12818010.0,Bgy,765,
102818011.0,Estancia,12818011.0,Bgy,1825,
102818012.0,Gayamat,12818012.0,Bgy,644,
102818013.0,Lagandit,12818013.0,Bgy,657,
102818014.0,Libnaoan,12818014.0,Bgy,688,
102818015.0,Loing ,12818015.0,Bgy,1575,Pob.
102818016.0,Maab-abaca,12818016.0,Bgy,497,
102818017.0,Mangitayag,12818017.0,Bgy,671,
102818018.0,Maruaya,12818018.0,Bgy,907,
102818019.0,San Antonio,12818019.0,Bgy,706,
102818020.0,Santa Maria,12818020.0,Bgy,1510,
102818021.0,Sucsuquen,12818021.0,Bgy,689,
102818022.0,Tangaoan,12818022.0,Bgy,1119,
102818023.0,Tonoton,12818023.0,Bgy,1564,
102819000.0,Pinili,12819000.0,Mun,17626,
102819001.0,Aglipay,12819001.0,Bgy,653,
102819002.0,Apatut-Lubong,12819002.0,Bgy,391,
102819003.0,Badio,12819003.0,Bgy,1398,
102819004.0,Barbar,12819004.0,Bgy,738,
102819005.0,Buanga,12819005.0,Bgy,457,
102819006.0,Bulbulala,12819006.0,Bgy,509,
102819007.0,Bungro,12819007.0,Bgy,391,
102819008.0,Cabaroan,12819008.0,Bgy,509,
102819009.0,Capangdanan,12819009.0,Bgy,760,
102819010.0,Dalayap,12819010.0,Bgy,621,
102819011.0,Darat,12819011.0,Bgy,1081,
102819012.0,Gulpeng,12819012.0,Bgy,384,
102819013.0,Liliputen,12819013.0,Bgy,546,
102819014.0,Lumbaan-Bicbica,12819014.0,Bgy,751,
